Date,Price,YTD,Citi,HSBC,Morgan Stanley,Nomura,JPMorgan,Credit Suisse,Macquarie,Barclays,Standard Chartered,BNP Paribas Equity Research,Jefferies,China International Capital Corp,BofAML,UBS,Goldman Sachs
1/1/2012,10.1,0,buy,underweight,Equalwt/Attractive,#N/A,underweight,neutral,outperform,overwt/positive,in-line,#N/A,buy,accumulate,buy,buy,neutral/neutral
1/2/2012,10.1,0,buy,underweight,Equalwt/Attractive,#N/A,underweight,neutral,outperform,overwt/positive,in-line,#N/A,buy,accumulate,buy,buy,neutral/neutral
1/3/2012,10.1,0,buy,underweight,Equalwt/Attractive,#N/A,underweight,neutral,outperform,overwt/positive,in-line,#N/A,buy,accumulate,buy,buy,neutral/neutral
1/4/2012,10.22,0.011881188,buy,underweight,Equalwt/Attractive,#N/A,underweight,neutral,outperform,overwt/positive,in-line,#N/A,buy,accumulate,buy,buy,neutral/neutral
1/5/2012,10.38,0.027722772,buy,underweight,Equalwt/Attractive,#N/A,underweight,neutral,outperform,overwt/positive,in-line,#N/A,buy,accumulate,buy,buy,neutral/neutral
1/6/2012,10.62,0.051485149,buy,underweight,Equalwt/Attractive,#N/A,underweight,neutral,outperform,overwt/positive,in-line,#N/A,buy,accumulate,buy,buy,neutral/neutral
1/7/2012,10.62,0.051485149,buy,underweight,Equalwt/Attractive,#N/A,underweight,neutral,outperform,overwt/positive,in-line,#N/A,buy,accumulate,buy,buy,neutral/neutral
1/8/2012,10.62,0.051485149,buy,underweight,Equalwt/Attractive,#N/A,underweight,neutral,outperform,overwt/positive,in-line,#N/A,buy,accumulate,buy,buy,neutral/neutral
1/9/2012,10.82,0.071287129,buy,underweight,Equalwt/Attractive,#N/A,underweight,neutral,outperform,overwt/positive,in-line,#N/A,buy,accumulate,buy,buy,neutral/neutral
1/10/2012,10.74,0.063366337,buy,underweight,Equalwt/Attractive,#N/A,underweight,neutral,outperform,overwt/positive,in-line,#N/A,buy,accumulate,buy,buy,neutral/neutral
1/11/2012,10.9,0.079207921,buy,underweight,Equalwt/Attractive,#N/A,underweight,neutral,outperform,overwt/positive,in-line,#N/A,buy,accumulate,buy,buy,neutral/neutral
1/12/2012,10.78,0.067326733,buy,underweight,Equalwt/Attractive,#N/A,underweight,neutral,outperform,overwt/positive,in-line,#N/A,buy,accumulate,buy,buy,neutral/neutral
1/13/2012,10.98,0.087128713,buy,underweight,Equalwt/Attractive,#N/A,underweight,neutral,outperform,overwt/positive,in-line,#N/A,buy,accumulate,buy,buy,neutral/neutral
1/14/2012,10.98,0.087128713,buy,underweight,Equalwt/Attractive,#N/A,underweight,neutral,outperform,overwt/positive,in-line,#N/A,buy,accumulate,buy,buy,neutral/neutral
1/15/2012,10.98,0.087128713,buy,underweight,Equalwt/Attractive,#N/A,underweight,neutral,outperform,overwt/positive,in-line,#N/A,buy,accumulate,buy,buy,neutral/neutral
1/16/2012,10.88,0.077227723,buy,underweight,Equalwt/Attractive,#N/A,underweight,neutral,outperform,overwt/positive,in-line,buy,buy,accumulate,buy,buy,neutral/neutral
1/17/2012,11.22,0.110891089,buy,underweight,Equalwt/Attractive,#N/A,underweight,neutral,outperform,overwt/positive,in-line,buy,buy,accumulate,buy,buy,neutral/neutral
1/18/2012,11.32,0.120792079,buy,underweight,Equalwt/Attractive,#N/A,underweight,neutral,outperform,overwt/positive,in-line,buy,buy,accumulate,buy,buy,neutral/neutral
1/19/2012,11.32,0.120792079,buy,underweight,Equalwt/Attractive,#N/A,underweight,neutral,outperform,overwt/positive,in-line,buy,buy,accumulate,buy,buy,neutral/neutral
1/20/2012,11.32,0.120792079,buy,underweight,Equalwt/Attractive,#N/A,underweight,neutral,outperform,overwt/positive,in-line,buy,buy,accumulate,buy,buy,neutral/neutral
1/21/2012,11.32,0.120792079,buy,underweight,Equalwt/Attractive,#N/A,underweight,neutral,outperform,overwt/positive,in-line,buy,buy,accumulate,buy,buy,neutral/neutral
1/22/2012,11.32,0.120792079,buy,underweight,Equalwt/Attractive,#N/A,underweight,neutral,outperform,overwt/positive,in-line,buy,buy,accumulate,buy,buy,neutral/neutral
1/23/2012,11.32,0.120792079,buy,underweight,Equalwt/Attractive,#N/A,underweight,neutral,outperform,overwt/positive,in-line,buy,buy,accumulate,buy,buy,neutral/neutral
1/24/2012,11.32,0.120792079,buy,underweight,Equalwt/Attractive,#N/A,underweight,neutral,outperform,overwt/positive,in-line,buy,buy,accumulate,buy,buy,neutral/neutral
1/25/2012,11.32,0.120792079,buy,underweight,Equalwt/Attractive,#N/A,underweight,neutral,outperform,overwt/positive,in-line,buy,buy,accumulate,buy,buy,neutral/neutral
1/26/2012,11.54,0.142574257,buy,underweight,Equalwt/Attractive,#N/A,underweight,neutral,outperform,overwt/positive,in-line,buy,buy,accumulate,buy,buy,neutral/neutral
1/27/2012,11.44,0.132673267,buy,underweight,Equalwt/Attractive,#N/A,underweight,neutral,outperform,overwt/positive,in-line,buy,buy,accumulate,buy,buy,neutral/neutral
1/28/2012,11.44,0.132673267,buy,underweight,Equalwt/Attractive,#N/A,underweight,neutral,outperform,overwt/positive,in-line,buy,buy,accumulate,buy,buy,neutral/neutral
1/29/2012,11.44,0.132673267,buy,underweight,Equalwt/Attractive,#N/A,underweight,neutral,outperform,overwt/positive,in-line,buy,buy,accumulate,buy,buy,neutral/neutral
1/30/2012,11.2,0.108910891,buy,underweight,Equalwt/Attractive,#N/A,underweight,neutral,outperform,overwt/positive,in-line,buy,buy,accumulate,buy,buy,neutral/neutral
1/31/2012,11.34,0.122772277,buy,underweight,Equalwt/Attractive,#N/A,underweight,neutral,outperform,overwt/positive,in-line,buy,buy,accumulate,buy,buy,neutral/neutral
2/1/2012,11.4,0.128712871,buy,underweight,Equalwt/Attractive,#N/A,underweight,neutral,outperform,overwt/positive,in-line,buy,buy,accumulate,buy,buy,neutral/neutral
2/2/2012,11.62,0.15049505,buy,underweight,Equalwt/Attractive,#N/A,underweight,neutral,outperform,overwt/positive,in-line,buy,buy,accumulate,buy,buy-s/t sell,neutral/neutral
2/3/2012,11.48,0.136633663,buy,underweight,Equalwt/Attractive,#N/A,underweight,neutral,outperform,overwt/positive,in-line,buy,buy,accumulate,buy,buy-s/t sell,neutral/neutral
