gender,match,samerace,dec_o,dec,estimated_int_corr,estimated_age_o,estimated_race_o,estimated_attr_o,estimated_sinc_o,estimated_intel_o,estimated_fun_o,estimated_amb_o,estimated_shar_o,estimated_like_o,estimated_age,estimated_field_cd,estimated_race,estimated_attr,estimated_sinc,estimated_intel,estimated_fun,estimated_amb,estimated_shar,estimated_like,estimated_prob,diff_age,diff_attr,diff_sinc,diff_intel,diff_fun,diff_amb,diff_shar,diff_like
0,0,0,0,1,0.14,27.0,2.0,6.0,8.0,8.0,8.0,8.0,6.0,7.0,21.0,1.0,4.0,6.0,9.0,7.0,7.0,6.0,5.0,7.0,6.0,6.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0
0,0,0,0,1,0.54,22.0,2.0,7.0,8.0,10.0,7.0,7.0,5.0,8.0,21.0,1.0,4.0,7.0,8.0,7.0,8.0,5.0,6.0,7.0,5.0,1.0,0.0,0.0,3.0,1.0,2.0,1.0,1.0
0,1,1,1,1,0.16,22.0,4.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,21.0,1.0,4.0,5.0,8.0,9.0,8.0,5.0,7.0,7.0,5.20752261742,1.0,5.0,2.0,1.0,2.0,5.0,3.0,3.0
0,1,0,1,1,0.61,23.0,2.0,7.0,8.0,9.0,8.0,9.0,8.0,7.0,21.0,1.0,4.0,7.0,6.0,8.0,7.0,6.0,8.0,7.0,6.0,2.0,0.0,2.0,1.0,1.0,3.0,0.0,0.0
0,1,0,1,1,0.21,24.0,3.0,8.0,7.0,9.0,6.0,9.0,7.0,8.0,21.0,1.0,4.0,5.0,6.0,7.0,7.0,6.0,6.0,6.0,6.0,3.0,3.0,1.0,2.0,1.0,3.0,1.0,2.0
0,0,0,1,0,0.25,25.0,2.0,7.0,7.0,8.0,8.0,7.0,7.0,7.0,21.0,1.0,4.0,4.0,9.0,7.0,4.0,6.0,4.0,6.0,5.0,4.0,3.0,2.0,1.0,4.0,1.0,3.0,1.0
0,0,0,0,1,0.34,30.0,2.0,3.0,6.0,7.0,5.0,8.0,7.0,2.0,21.0,1.0,4.0,7.0,6.0,7.0,4.0,6.0,7.0,6.0,5.0,9.0,4.0,0.0,0.0,1.0,2.0,0.0,4.0
0,0,0,0,0,0.5,27.0,2.0,6.0,7.0,5.0,6.0,8.0,6.0,7.0,21.0,1.0,4.0,4.0,9.0,7.0,6.0,5.0,6.0,6.0,7.0,6.0,2.0,2.0,2.0,0.0,3.0,0.0,1.0
0,1,0,1,1,0.28,28.0,2.0,7.0,7.0,8.0,8.0,8.0,9.0,6.5,21.0,1.0,4.0,7.0,6.0,8.0,9.0,8.0,8.0,7.0,7.0,7.0,0.0,1.0,0.0,1.0,0.0,1.0,0.5
0,0,0,0,1,-0.36,24.0,2.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,21.0,1.0,4.0,5.0,6.0,6.0,8.0,10.0,8.0,6.0,6.0,3.0,1.0,0.0,0.0,2.0,4.0,2.0,0.0
0,0,1,0,0,0.29,27.0,2.0,8.0,7.0,6.0,9.0,7.0,4.0,7.0,24.0,1.0,2.0,5.0,7.0,8.0,4.0,6.0,3.0,6.0,4.0,3.0,3.0,0.0,2.0,5.0,1.0,1.0,1.0
0,0,1,0,0,0.18,22.0,2.0,7.0,6.0,10.0,6.0,6.0,5.0,8.0,24.0,1.0,2.0,8.0,5.0,6.0,6.0,9.0,6.0,7.0,3.0,2.0,1.0,1.0,4.0,0.0,3.0,1.0,1.0
0,0,0,1,0,0.1,22.0,4.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,24.0,1.0,2.0,5.0,8.0,9.0,6.0,3.0,4.0,6.0,7.0,2.0,5.0,2.0,1.0,4.0,7.0,6.0,4.0
0,1,1,1,1,-0.21,23.0,2.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,24.0,1.0,2.0,7.0,9.0,7.0,6.0,5.0,7.0,7.0,8.0,1.0,2.0,0.0,2.0,3.0,4.0,2.0,2.0
0,0,0,1,0,0.32,24.0,3.0,10.0,10.0,10.0,10.0,7.0,8.0,10.0,24.0,1.0,2.0,6.0,8.0,7.0,9.0,7.0,8.0,8.0,6.0,0.0,4.0,2.0,3.0,1.0,0.0,0.0,2.0
0,0,1,1,0,0.73,25.0,2.0,7.0,8.0,7.0,5.0,7.0,7.0,7.0,24.0,1.0,2.0,8.0,7.0,8.0,3.0,6.0,2.0,6.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,1.0
0,0,1,0,1,0.6,30.0,2.0,5.0,3.0,4.0,3.0,5.0,3.0,4.0,24.0,1.0,2.0,7.0,5.0,9.0,6.0,7.0,9.0,8.0,7.0,6.0,2.0,2.0,5.0,3.0,2.0,6.0,4.0
0,0,1,1,0,0.07,27.0,2.0,7.0,7.0,7.0,7.0,7.0,5.0,7.0,24.0,1.0,2.0,5.0,8.0,7.0,5.0,9.0,5.0,5.0,6.0,3.0,2.0,1.0,0.0,2.0,2.0,0.0,2.0
0,1,1,1,1,0.11,28.0,2.0,8.0,6.0,9.0,9.0,8.0,7.0,8.0,24.0,1.0,2.0,7.0,6.0,8.0,9.0,4.0,5.0,5.0,6.0,4.0,1.0,0.0,1.0,0.0,4.0,2.0,3.0
0,0,1,0,1,0.39,24.0,2.0,6.0,5.0,7.0,7.0,9.0,7.0,6.0,24.0,1.0,2.0,6.0,7.0,8.0,7.0,9.0,8.0,8.0,7.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,2.0
0,0,1,0,0,-0.24,27.0,2.0,7.0,8.0,6.0,5.0,8.0,4.0,5.0,25.0,2.0,2.0,7.0,9.0,10.0,7.0,8.0,9.0,8.0,7.0,2.0,0.0,1.0,4.0,2.0,0.0,5.0,3.0
0,0,1,0,0,-0.14,22.0,2.0,6.0,7.0,10.0,6.0,6.0,5.0,7.0,25.0,2.0,2.0,9.0,7.0,9.0,8.0,9.0,7.0,8.0,7.0,3.0,3.0,0.0,1.0,2.0,3.0,2.0,1.0
0,0,0,1,0,0.09,22.0,4.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,25.0,2.0,2.0,7.0,9.0,9.0,7.0,9.0,7.0,8.0,7.0,3.0,3.0,1.0,1.0,3.0,1.0,3.0,2.0
0,0,1,1,0,-0.04,23.0,2.0,7.0,9.0,8.0,8.0,8.0,8.0,7.0,25.0,2.0,2.0,9.0,7.0,9.0,7.0,9.0,7.0,8.0,7.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
0,0,0,1,0,-0.14,24.0,3.0,6.0,10.0,8.0,6.0,6.77840909091,5.47486989866,6.0,25.0,2.0,2.0,9.0,10.0,10.0,10.0,10.0,10.0,9.0,5.20752261742,1.0,3.0,0.0,2.0,4.0,3.22159090909,4.52513010134,3.0
0,0,1,1,0,-0.3,25.0,2.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,25.0,2.0,2.0,8.0,10.0,10.0,7.0,9.0,9.0,8.0,5.20752261742,0.0,1.0,4.0,4.0,1.0,3.0,3.0,2.0
0,0,1,0,0,-0.26,30.0,2.0,6.0,3.0,5.0,4.0,5.0,4.0,2.0,25.0,2.0,2.0,8.0,9.0,10.0,7.0,7.0,9.0,8.0,7.0,5.0,2.0,6.0,5.0,3.0,2.0,5.0,6.0
0,0,1,0,0,0.29,27.0,2.0,4.0,5.0,6.0,4.0,6.0,4.0,5.0,25.0,2.0,2.0,7.0,9.0,9.0,8.0,9.0,7.0,8.0,7.0,2.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0
0,0,1,1,0,-0.15,28.0,2.0,7.0,7.0,6.0,8.0,7.0,7.0,7.0,25.0,2.0,2.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,7.0,3.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0
0,0,1,0,0,-0.47,24.0,2.0,5.0,6.0,8.0,5.0,8.0,6.0,5.0,25.0,2.0,2.0,8.0,7.0,9.0,7.0,9.0,7.0,8.0,7.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,3.0
0,0,1,0,0,-0.18,27.0,2.0,6.0,7.0,8.0,7.0,7.0,5.0,6.0,23.0,1.0,2.0,4.0,10.0,8.0,5.0,8.0,7.0,6.0,7.0,4.0,2.0,3.0,0.0,2.0,1.0,2.0,0.0
0,0,1,0,0,-0.18,22.0,2.0,6.0,5.0,10.0,6.0,6.0,5.0,6.0,23.0,1.0,2.0,8.0,7.0,8.0,10.0,7.0,8.0,8.0,1.0,1.0,2.0,2.0,2.0,4.0,1.0,3.0,2.0
0,0,0,1,0,0.05,22.0,4.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,23.0,1.0,2.0,4.0,7.0,8.0,8.0,6.0,7.0,4.0,1.0,1.0,6.0,3.0,2.0,2.0,4.0,3.0,6.0
0,1,1,1,1,-0.18,23.0,2.0,7.0,7.0,7.0,9.0,9.0,9.0,8.0,23.0,1.0,2.0,8.0,10.0,7.0,10.0,7.0,10.0,8.0,10.0,0.0,1.0,3.0,0.0,1.0,2.0,1.0,0.0
0,0,0,1,0,0.21,24.0,3.0,8.0,8.0,9.0,8.0,8.0,9.0,9.0,23.0,1.0,2.0,6.0,9.0,8.0,9.0,8.0,9.0,7.0,7.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0
0,0,1,1,0,0.37,25.0,2.0,6.0,6.0,7.0,7.0,8.0,7.0,6.0,23.0,1.0,2.0,5.0,10.0,8.0,4.0,8.0,2.0,4.0,3.0,2.0,1.0,4.0,1.0,3.0,0.0,5.0,2.0
0,0,1,1,0,0.35,30.0,2.0,7.0,6.0,3.0,5.0,6.0,5.0,6.0,23.0,1.0,2.0,7.0,10.0,10.0,7.0,10.0,5.0,5.0,1.0,7.0,0.0,4.0,7.0,2.0,4.0,0.0,1.0
0,0,1,0,0,0.15,27.0,2.0,6.0,7.0,8.0,6.0,6.0,5.0,7.0,23.0,1.0,2.0,5.0,9.0,9.0,5.0,9.0,7.0,6.0,6.0,4.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0
0,1,1,1,1,-0.47,28.0,2.0,7.0,7.0,7.0,10.0,9.0,10.0,8.0,23.0,1.0,2.0,9.0,8.0,10.0,10.0,7.0,8.0,8.0,8.0,5.0,2.0,1.0,3.0,0.0,2.0,2.0,0.0
0,0,1,0,1,-0.19,24.0,2.0,7.0,8.0,8.0,7.0,8.0,7.0,7.0,23.0,1.0,2.0,8.0,9.0,10.0,10.0,8.0,8.0,10.0,8.0,1.0,1.0,1.0,2.0,3.0,0.0,1.0,3.0
0,0,1,0,0,-0.43,27.0,2.0,6.0,8.0,8.0,8.0,7.0,6.0,6.0,21.0,1.0,2.0,5.0,8.0,8.0,2.0,2.0,2.0,7.0,5.0,6.0,1.0,0.0,0.0,6.0,5.0,4.0,1.0
0,0,1,0,0,0.0,22.0,2.0,6.0,7.0,10.0,7.0,6.0,5.0,7.0,21.0,1.0,2.0,8.0,6.0,6.0,5.0,5.0,5.0,6.0,4.0,1.0,2.0,1.0,4.0,2.0,1.0,0.0,1.0
0,0,0,1,0,-0.17,22.0,4.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,21.0,1.0,2.0,4.0,6.0,8.0,8.0,6.0,5.0,6.0,5.0,1.0,6.0,4.0,2.0,2.0,4.0,5.0,4.0
