Character,Points,Rank,Index,Episode
Stannis Baratheon,656,1.0,556,4
Missandei,317,2.0,217,4
Daenerys Targaryen,300,3.0,200,4
Myranda,238,4.0,138,4
Jon Snow,187,5.0,87,4
Jorah Mormont,184,6.0,84,4
Tormund Giantsbane,125,7.0,25,4
Davos Seaworth,122,8.0,22,4
Hizdahr zo Loraq,119,9.0,19,4
Brienne of Tarth,98,10.0,-2,4
Theon Greyjoy,69,11.0,-44,4
Samwell Tarly,68,12.0,-47,4
Roose Bolton,59,13.0,-69,4
Shireen Baratheon,59,13.0,-69,4
Sansa Stark,55,15.0,-81,4
Ramsay Bolton,44,16.0,-127,4
Daario Naharis,21,17.0,-376,4
Grey Worm,10,18.0,-900,4
Alliser Thorne,0,19.0,0,4
Areo Hotah,0,19.0,0,4
Arya Stark,0,19.0,0,4
Barristan Selmy,0,19.0,0,4
Bowen Marsh,0,19.0,0,4
Cersei Lannister,0,19.0,0,4
Denys Mallister,0,19.0,0,4
Doran Martell,0,19.0,0,4
Eddison Tollett,0,19.0,0,4
Ellaria Sand,0,19.0,0,4
Gilly,0,19.0,0,4
Gregor Clegane,0,19.0,0,4
Jaime Lannister,0,19.0,0,4
Janos Slynt,0,19.0,0,4
Jaqen Hghar,0,19.0,0,4
Kevan Lannister,0,19.0,0,4
Keyr,0,19.0,0,4
Lancel Lannister,0,19.0,0,4
Lhara,0,19.0,0,4
Loboda,0,19.0,0,4
Loras Tyrell,0,19.0,0,4
Lord of Bones,0,19.0,0,4
Mace Tyrell,0,19.0,0,4
Maggy the Frog,0,19.0,0,4
Malko,0,19.0,0,4
Mance Rayder,0,19.0,0,4
Margaery Tyrell,0,19.0,0,4
Melisandre,0,19.0,0,4
Meryn Trant,0,19.0,0,4
Myrcella Baratheon,0,19.0,0,4
Nymeria Sand,0,19.0,0,4
Obara Sand,0,19.0,0,4
Olenna Tyrell,0,19.0,0,4
Olly,0,19.0,0,4
Petyr Baelish,0,19.0,0,4
Pit Announcer,0,19.0,0,4
Podrick Payne,0,19.0,0,4
Pycelle,0,19.0,0,4
Qyburn,0,19.0,0,4
Robin Arryn,0,19.0,0,4
Selyse Baratheon,0,19.0,0,4
Septa Unella,0,19.0,0,4
Ser Bronn,0,19.0,0,4
Ternesio Terys,0,19.0,0,4
The High Sparrow,0,19.0,0,4
Tommen Baratheon,0,19.0,0,4
Trystane Martell,0,19.0,0,4
Tycho Nestoris,0,19.0,0,4
Tyene Sand,0,19.0,0,4
Tyrion Lannister,0,19.0,0,4
Varys,0,19.0,0,4
Walda Bolton,0,19.0,0,4
White Walkers Master,0,19.0,0,4
Yezzan,0,19.0,0,4
Yohn Royce,0,19.0,0,4
