customerid,timestamp,eventtype
10012,1338452406,login
3428,1338479256,login
9899,1338484777,login
1693,1338501513,login
6102,1338509850,login
11430,1338514951,login
1995,1338556458,login
10163,1338561038,login
8068,1338580955,login
10922,1338587391,login
3514,1338596927,login
7170,1338618231,login
4584,1338619028,login
9394,1338623421,login
3721,1338628135,login
7286,1338629945,login
11999,1338638159,login
11297,1338655442,login
2120,1338673379,login
3861,1338684207,login
2494,1338685126,login
5694,1338697207,login
2136,1338710331,login
7991,1338719281,login
10628,1338736816,login
2568,1338741894,login
563,1338751688,login
6047,1338755611,login
8991,1338761672,login
9964,1338761794,login
3514,1338769727,login
7716,1338780260,login
7170,1338791031,login
1551,1338798446,login
4510,1338801015,login
2973,1338809647,login
6618,1338821405,login
4426,1338823332,login
9345,1338842105,login
3023,1338851037,login
8541,1338854315,login
9744,1338854590,login
1728,1338856421,login
11712,1338878012,login
50,1338894128,login
2897,1338898714,login
8259,1338908684,login
2568,1338914694,login
6248,1338918487,login
1693,1338933513,login
8279,1338940085,login
5801,1338948422,login
1400,1338975628,login
2066,1338982261,login
6645,1339000817,login
6047,1339014811,login
2354,1339016201,login
8935,1339034547,login
822,1339035772,login
6808,1339051784,login
1864,1339062357,login
510,1339064834,login
11300,1339077591,login
2583,1339078515,login
10816,1339083714,login
10624,1339084002,login
4541,1339102895,login
10215,1339113159,login
11630,1339115651,login
11903,1339116250,login
5340,1339146271,login
7753,1339151770,login
9332,1339155885,login
3096,1339157813,login
47,1339161782,login
6434,1339166083,login
5369,1339166237,login
178,1339166698,login
3428,1339170456,login
1844,1339181796,login
9345,1339187705,login
7107,1339206707,login
822,1339208572,login
1806,1339210803,login
7857,1339224240,login
8280,1339249182,login
7173,1339250708,login
1693,1339279113,login
1619,1339282279,login
1525,1339283418,login
5151,1339284875,login
1810,1339289898,login
2132,1339293014,login
10481,1339321852,login
11145,1339323116,login
2583,1339337715,login
1693,1339365513,login
3795,1339372314,login
7590,1339375873,login
5240,1339405018,login
11028,1339417447,login
4551,1339430366,login
728,1339430676,login
5297,1339435929,login
860,1339451204,login
1525,1339456218,login
6521,1339457152,login
2042,1339459864,login
3385,1339463241,login
11817,1339466833,login
7744,1339474816,login
10649,1339478635,login
7840,1339479785,login
2136,1339487931,login
3918,1339495095,login
1747,1339498543,login
10152,1339503491,login
11103,1339506403,login
6886,1339508776,login
5739,1339508792,login
589,1339508806,login
6417,1339509236,login
11300,1339509591,login
8259,1339513484,login
9054,1339517995,login
10119,1339522184,login
6143,1339528286,login
8068,1339531355,login
7590,1339548673,login
8522,1339550215,login
4689,1339556287,login
4019,1339576130,login
614,1339578472,login
9481,1339583776,login
1904,1339585430,login
4906,1339587023,login
2123,1339598716,login
11764,1339609227,login
11605,1339618445,login
11466,1339633908,login
2795,1339638515,login
6965,1339639148,login
4019,1339662530,login
8982,1339671173,login
8280,1339681182,login
589,1339681606,login
1083,1339682286,login
5369,1339684637,login
6134,1339697881,login
6047,1339706011,login
2042,1339719064,login
6102,1339719450,login
9601,1339728015,login
9434,1339733862,login
10649,1339737835,login
2714,1339740561,login
7023,1339749750,login
408,1339754730,login
1420,1339766685,login
6886,1339767976,login
8074,1339771499,login
728,1339776276,login
11764,1339782027,login
10536,1339782064,login
8416,1339796036,login
1693,1339797513,login
3642,1339797548,login
1465,1339809354,login
1280,1339815085,login
10370,1339817293,login
9286,1339833624,login
11119,1339834987,login
11618,1339842204,login
8263,1339846147,login
9402,1339853037,login
4582,1339854582,login
7173,1339855508,login
4031,1339861740,login
4551,1339862366,login
2316,1339862559,login
728,1339862676,login
10968,1339870608,login
6134,1339870681,login
3732,1339877513,login
10783,1339878991,login
1525,1339888218,login
8726,1339895757,login
4246,1339900122,login
4835,1339902450,login
4570,1339904707,login
5545,1339918797,login
8804,1339930004,login
8280,1339940382,login
6168,1339940690,login
2457,1339943520,login
5369,1339943837,login
728,1339949076,login
11764,1339954827,login
5107,1339962196,login
11602,1339967097,login
11847,1339969683,login
1693,1339970313,login
7590,1339980673,login
7735,1340000786,login
1423,1340006313,login
6886,1340027176,login
1321,1340030760,login
6978,1340033152,login
4337,1340041832,login
1945,1340042650,login
10922,1340056191,login
4269,1340058976,login
906,1340059792,login
6171,1340071525,login
2026,1340073994,login
6808,1340088584,login
11750,1340100439,login
11300,1340114391,login
5723,1340119637,login
4031,1340120940,login
2175,1340123974,login
2986,1340131004,login
1525,1340147418,login
8664,1340158864,login
10649,1340169835,login
6808,1340174984,login
4243,1340188831,login
2973,1340192047,login
6035,1340199235,login
8259,1340204684,login
11236,1340209304,login
5297,1340213529,login
1846,1340225132,login
1656,1340232211,login
