customerid,datecreated,source,mailinglist,testgroup,orgid,parentid
3861,1338425007, ORG_INVITE         ,0,0,115,3861
11430,1338428551, ORG_INVITE         ,0,0,239,5677
7170,1338445431, ORG_INVITE         ,0,0,145,7170
10012,1338452406, ORG_INVITE         ,0,1,225,7104
11999,1338465359, PERSONAL_PROJECTS  ,0,0,6,               NULL 
1995,1338470058, ORG_INVITE         ,1,0,363,1995
10163,1338474638, PERSONAL_PROJECTS  ,0,0,282,               NULL 
10628,1338477616, ORG_INVITE         ,0,0,82,10639
10816,1338478914, SIGNUP             ,1,1,371,               NULL 
3428,1338479256, SIGNUP_GOOGLE_AUTH ,1,0,166,               NULL 
9899,1338484777, ORG_INVITE         ,0,0,138,9899
7201,1338487969, GUEST_INVITE       ,0,0,401,7414
4320,1338499610, PERSONAL_PROJECTS  ,1,0,197,               NULL 
10922,1338500991, ORG_INVITE         ,1,0,382,10922
1693,1338501513, SIGNUP_GOOGLE_AUTH ,0,1,50,               NULL 
4400,1338504617, PERSONAL_PROJECTS  ,1,0,76,               NULL 
6102,1338509850, ORG_INVITE         ,0,0,34,6102
10727,1338516476, GUEST_INVITE       ,1,1,38,9728
9296,1338519300, ORG_INVITE         ,0,0,7,5650
7716,1338521060, ORG_INVITE         ,0,0,74,3058
1511,1338522564, GUEST_INVITE       ,0,0,371,1511
6566,1338523373, PERSONAL_PROJECTS  ,0,0,258,               NULL 
5694,1338524407, SIGNUP             ,0,0,0,               NULL 
4510,1338541815, ORG_INVITE         ,0,0,258,6566
1543,1338555507, PERSONAL_PROJECTS  ,0,0,50,               NULL 
6248,1338572887, ORG_INVITE         ,0,0,343,6248
8068,1338580955, ORG_INVITE         ,0,1,42,8068
9964,1338588994, SIGNUP_GOOGLE_AUTH ,0,0,66,               NULL 
1475,1338592407, SIGNUP             ,0,0,4,               NULL 
3514,1338596927, PERSONAL_PROJECTS  ,0,0,139,               NULL 
4584,1338619028, PERSONAL_PROJECTS  ,0,0,102,               NULL 
1261,1338619146, ORG_INVITE         ,0,0,335,1261
9394,1338623421, ORG_INVITE         ,0,0,140,4432
2136,1338623931, GUEST_INVITE       ,0,1,0,6961
1551,1338625646, GUEST_INVITE       ,0,0,226,6434
3721,1338628135, SIGNUP             ,0,0,33,               NULL 
7286,1338629945, ORG_INVITE         ,0,0,14,7286
5823,1338653772, PERSONAL_PROJECTS  ,0,0,52,               NULL 
11297,1338655442, PERSONAL_PROJECTS  ,1,0,162,               NULL 
2568,1338655494, SIGNUP             ,0,0,314,               NULL 
2087,1338667308, ORG_INVITE         ,0,0,66,9964
6047,1338669211, SIGNUP_GOOGLE_AUTH ,1,1,298,               NULL 
9345,1338669305, GUEST_INVITE       ,0,0,70,4802
2120,1338673379, SIGNUP             ,0,0,277,               NULL 
9744,1338681790, ORG_INVITE         ,0,0,183,9744
6304,1338681848, GUEST_INVITE       ,0,0,240,9510
1728,1338683621, GUEST_INVITE       ,0,0,413,1728
2494,1338685126, ORG_INVITE         ,0,0,270,2494
392,1338686885, PERSONAL_PROJECTS  ,0,0,338,               NULL 
6493,1338712993, ORG_INVITE         ,1,0,5,4596
4415,1338715816, SIGNUP             ,0,0,0,               NULL 
6686,1338716018, GUEST_INVITE       ,0,0,337,6686
7991,1338719281, GUEST_INVITE       ,0,0,64,5897
9043,1338719639, SIGNUP             ,0,0,30,               NULL 
50,1338721328, GUEST_INVITE       ,0,0,61,50
2973,1338723247, GUEST_INVITE       ,0,0,324,2499
2897,1338725914, SIGNUP_GOOGLE_AUTH ,0,0,401,               NULL 
2308,1338728474, PERSONAL_PROJECTS  ,0,0,10,               NULL 
6618,1338735005, ORG_INVITE         ,0,0,107,3257
4426,1338736932, ORG_INVITE         ,1,1,242,4426
563,1338751688, SIGNUP_GOOGLE_AUTH ,1,0,3,               NULL 
7358,1338758151, PERSONAL_PROJECTS  ,0,0,345,               NULL 
8991,1338761672, ORG_INVITE         ,0,0,75,8853
1400,1338802828, SIGNUP             ,1,0,69,               NULL 
6054,1338830417, PERSONAL_PROJECTS  ,1,0,384,               NULL 
1619,1338850279, ORG_INVITE         ,0,0,41,6824
3023,1338851037, PERSONAL_PROJECTS  ,0,0,224,               NULL 
8541,1338854315, SIGNUP_GOOGLE_AUTH ,1,0,97,               NULL 
8935,1338861747, GUEST_INVITE       ,0,0,139,8935
11994,1338871576, GUEST_INVITE       ,0,0,84,5450
2467,1338871996, ORG_INVITE         ,0,0,201,4582
11712,1338878012, PERSONAL_PROJECTS  ,1,0,90,               NULL 
8259,1338908684, ORG_INVITE         ,0,0,160,3885
10624,1338911202, GUEST_INVITE       ,0,0,17,5217
8279,1338940085, SIGNUP             ,0,0,347,               NULL 
5801,1338948422, SIGNUP_GOOGLE_AUTH ,0,0,0,               NULL 
1175,1338950740, PERSONAL_PROJECTS  ,1,0,163,               NULL 
7857,1338965040, GUEST_INVITE       ,1,1,297,7857
1864,1338975957, ORG_INVITE         ,0,0,58,4793
2066,1338982261, SIGNUP_GOOGLE_AUTH ,0,0,113,               NULL 
3246,1338991834, PERSONAL_PROJECTS  ,1,0,5,               NULL 
2583,1338992115, ORG_INVITE         ,0,0,77,1726
6434,1338993283, SIGNUP             ,0,0,226,               NULL 
6645,1339000817, SIGNUP             ,0,0,23,               NULL 
11358,1339004661, ORG_INVITE         ,0,0,35,1509
8870,1339010801, GUEST_INVITE       ,0,0,2,4309
2354,1339016201, ORG_INVITE         ,0,0,60,11413
4541,1339016495, ORG_INVITE         ,0,0,188,9390
822,1339035772, SIGNUP             ,0,0,161,               NULL 
6808,1339051784, GUEST_INVITE       ,1,0,108,11300
5340,1339059871, SIGNUP             ,0,0,47,               NULL 
510,1339064834, GUEST_INVITE       ,0,0,231,510
9332,1339069485, ORG_INVITE         ,0,1,25,9332
47,1339075382, ORG_INVITE         ,1,1,32,11800
11300,1339077591, SIGNUP_GOOGLE_AUTH ,0,0,108,               NULL 
5369,1339079837, GUEST_INVITE       ,0,0,181,1215
5151,1339112075, SIGNUP_GOOGLE_AUTH ,0,0,1,               NULL 
10215,1339113159, GUEST_INVITE       ,0,0,0,5684
11630,1339115651, GUEST_INVITE       ,1,0,96,2713
11903,1339116250, SIGNUP             ,1,0,67,               NULL 
7590,1339116673, PERSONAL_PROJECTS  ,0,0,225,               NULL 
2132,1339120214, ORG_INVITE         ,0,0,36,3781
1806,1339124403, ORG_INVITE         ,0,0,27,6553
4574,1339140948, PERSONAL_PROJECTS  ,0,0,66,               NULL 
10481,1339149052, GUEST_INVITE       ,0,0,43,10481
7753,1339151770, PERSONAL_PROJECTS  ,0,0,376,               NULL 
3388,1339155246, PERSONAL_PROJECTS  ,0,0,257,               NULL 
3096,1339157813, SIGNUP             ,1,0,263,               NULL 
6384,1339163210, SIGNUP             ,0,0,30,               NULL 
178,1339166698, ORG_INVITE         ,0,0,415,178
9010,1339178678, PERSONAL_PROJECTS  ,0,1,111,               NULL 
1844,1339181796, ORG_INVITE         ,0,0,70,9345
7510,1339194298, PERSONAL_PROJECTS  ,0,0,75,               NULL 
2795,1339206515, PERSONAL_PROJECTS  ,0,0,208,               NULL 
7107,1339206707, SIGNUP_GOOGLE_AUTH ,0,0,399,               NULL 
10370,1339212493, ORG_INVITE         ,0,0,3,4906
3988,1339214719, ORG_INVITE         ,0,0,219,3477
7744,1339215616, SIGNUP_GOOGLE_AUTH ,0,0,26,               NULL 
8280,1339249182, ORG_INVITE         ,0,0,317,8280
7173,1339250708, GUEST_INVITE       ,0,0,152,7173
1525,1339283418, GUEST_INVITE       ,1,1,94,9224
2042,1339287064, SIGNUP_GOOGLE_AUTH ,0,0,129,               NULL 
1810,1339289898, ORG_INVITE         ,0,0,299,3704
9625,1339309581, PERSONAL_PROJECTS  ,1,1,335,               NULL 
11145,1339323116, ORG_INVITE         ,1,1,15,5379
4906,1339327823, SIGNUP_GOOGLE_AUTH ,0,0,3,               NULL 
589,1339336006, ORG_INVITE         ,1,0,28,7110
6417,1339336436, SIGNUP             ,1,0,310,               NULL 
4551,1339343966, GUEST_INVITE       ,0,0,9,4551
5297,1339349529, GUEST_INVITE       ,0,0,69,5577
11764,1339350027, SIGNUP             ,0,0,199,               NULL 
3795,1339372314, SIGNUP             ,0,0,17,               NULL 
10649,1339392235, ORG_INVITE         ,0,0,97,8477
3068,1339403101, ORG_INVITE         ,0,0,406,6519
4019,1339403330, GUEST_INVITE       ,0,0,305,4019
5240,1339405018, SIGNUP_GOOGLE_AUTH ,0,0,193,               NULL 
3918,1339408695, ORG_INVITE         ,0,0,264,3918
8982,1339411973, SIGNUP_GOOGLE_AUTH ,0,0,13,               NULL 
11028,1339417447, SIGNUP_GOOGLE_AUTH ,0,0,220,               NULL 
5739,1339422392, ORG_INVITE         ,0,0,71,6202
2123,1339425916, ORG_INVITE         ,0,0,350,3383
728,1339430676, PERSONAL_PROJECTS  ,0,0,46,               NULL 
10119,1339435784, ORG_INVITE         ,1,0,79,10119
10586,1339437631, PERSONAL_PROJECTS  ,1,1,35,               NULL 
2041,1339438357, ORG_INVITE         ,0,0,43,10481
860,1339451204, GUEST_INVITE       ,0,0,223,860
6521,1339457152, SIGNUP_GOOGLE_AUTH ,0,0,214,               NULL 
3385,1339463241, SIGNUP             ,1,0,3,               NULL 
11817,1339466833, GUEST_INVITE       ,0,0,164,5375
11053,1339472308, PERSONAL_PROJECTS  ,1,1,253,               NULL 
7840,1339479785, ORG_INVITE         ,0,0,73,6639
614,1339492072, SIGNUP             ,0,0,181,               NULL 
1747,1339498543, ORG_INVITE         ,0,0,3,3620
1904,1339499030, GUEST_INVITE       ,0,0,35,11466
10152,1339503491, GUEST_INVITE       ,1,0,184,10152
11103,1339506403, PERSONAL_PROJECTS  ,1,1,70,               NULL 
6886,1339508776, PERSONAL_PROJECTS  ,0,0,232,               NULL 
2512,1339508882, PERSONAL_PROJECTS  ,0,0,144,               NULL 
9054,1339517995, GUEST_INVITE       ,0,0,180,9054
6143,1339528286, GUEST_INVITE       ,1,0,42,6143
8522,1339550215, SIGNUP             ,0,0,53,               NULL 
11162,1339553483, GUEST_INVITE       ,0,0,298,6047
