Ticker,Name,Country,Sector,LastPrice,LastPrice+1M,T12M_DVDS_PAID,TRAIL_12M_EARN_FOR_COMMON,TOTAL_EQUITY,BS_TOT_ASSET,TRAIL_12M_CASH_FROM_OPER,TRAIL_12M_FREE_CASH_FLOW,TRAIL_12M_OPER_MARGIN,TRAIL_12M_GROSS_MARGIN,TRAIL_12M_NET_SALES,TRAIL_12M_ACCT_RCV_UNBILLED_REV,VOLATILITY_90D,CUR_MKT_CAP,TRAIL_12M_EBITDA,TRAIL_12M_INT_EXP,NET_DEBT
VRSK UW Equity,Verisk Analytics Inc,US,Industrials,73,72.84,0,491.19,1313.636,5619.097,630.861,481.27,37.6132,61.3786,1897.208,8.666,28.855,12368.2692,898.97,106.515,3025.91
AA UN Equity,Alcoa Inc,US,Materials,7.29,8.93,-205,466,14691,36587,2175,924,7.0185,21.2457,23666,256,52.135,9550.8388,2956,491,7538
AXP UN Equity,American Express Co,US,Financials,53.5,55.58,-1940,5626,21335,154216,16905,14892,24.7865,#N/A N/A,35136,#N/A N/A,29.867,52657.1562,12130,1628,31875
EPE UN Equity,EP Energy Corp,US,Energy,3.74,1.72,0,617,4345,10352,1319,-372,45.9849,51.8874,2914,47,111.888,930.5117,2310,332,4903
VZ UN Equity,Verizon Communications Inc,US,Telecommunication Services,49.97,50.73,-8523,10257,14542,242073,35900,18793,16.2227,59.9772,130558,#N/A N/A,18.158,203321.5862,37226,5024,108143
BA UN Equity,Boeing Co/The,US,Industrials,120.13,118.18,-2401,5613,6786,98998,11242,8747,8.5631,15.3099,97009,-1145,29.902,80485.135,10184,284,-841
RCL UN Equity,Royal Caribbean Cruises Ltd,US,Consumer Discretionary,81.96,74.37,-264.813,568.752,8255.786,20958.848,1892.131,-720.886,9.0608,60.066,8214.847,54.392,35.338,18030.8223,1555.388,277.966,8342.517
CAT UN Equity,Caterpillar Inc,US,Industrials,62.24,67.7,-1732,3080,15968,78969,6735,3541,9.1747,27.1896,50225,533,32.484,36238.2333,7675,507,4748
JPM UN Equity,JPMorgan Chase & Co,US,Financials,59.5,56.3,-7590,21986,245728,2417121,86045,86045,31.9373,#N/A N/A,100830,#N/A N/A,26.413,219027.228,#N/A N/A,7422,37240
CVX UN Equity,Chevron Corp,US,Energy,86.47,83.44,-7995,8646,155938,268449,21396,-10327,0.8359,4.9657,136376,5440,34.569,162739.7172,21650,#N/A N/A,22637
LII UN Equity,Lennox International Inc,US,Industrials,119.82,129.21,-57.5,220,97.5,1881.5,268.2,192.7,10.4466,27.4281,3446.1,-64.5,25.945,5398.5089,422.2,#N/A N/A,882.9
KO UN Equity,Coca-Cola Co/The,US,Consumer Staples,42.92,43.13,-6983,6774,26267,93008,11026,8568,19.1759,60.623,45166,#N/A N/A,15.362,186658.4513,10603,852,23412
DIS UN Equity,Walt Disney Co/The,US,Consumer Discretionary,95.82,95.52,-3063,8382,48655,88182,10909,6644,25.1044,45.9373,52465,-211,24.34,157301.6421,15525,265,13094
PSX UN Equity,Phillips 66,US,Energy,80.15,79.39,-1149,4724,24032,49415,5088,676,5.0033,10.8929,98055,#N/A N/A,31.96,42755.2407,5976,309,4129
DD UN Equity,EI du Pont de Nemours & Co,US,Materials,52.76,60.87,-1638,2879,11222,40302,3669,1669,12.4475,39.0403,27154,#N/A N/A,37.625,46239.2324,4922,380,6206
XOM UN Equity,Exxon Mobil Corp,US,Energy,77.85,80.15,-11960,19940,176839,340662,33379,4141,6.8361,11.8945,260574,#N/A N/A,28.93,324084.7604,35564,319,30016
GE UN Equity,General Electric Co,US,Industrials,29.1,29.14,-9169,-7275,119993,581310,24611,19076,10.1106,29.271,123009,-313,22.499,274642.0772,17025,1680,3781
EVHC UN Equity,Envision Healthcare Holdings Inc,US,Health Care,22.1,21.99,0,152.926,1944.184,5296.94,274.989,186.915,7.2341,#N/A N/A,5123.907,#N/A N/A,77.501,4126.739,545.88,108.072,2108.694
HPQ UN Equity,HP Inc,US,Information Technology,9.71,10.69,-1250,4554,28151,106882,6490,2887,5.4366,22.6322,77898,507,47.356,17398.8479,8296,#N/A N/A,7232
HD UN Equity,Home Depot Inc/The,US,Consumer Discretionary,125.76,124.12,-2905,6917,7619,44152,9361,7835,13.1671,34.2453,86701,-80,22.199,159448.7429,13241,890,17822
IBM UN Equity,International Business Machines Corp,US,Information Technology,124.79,131.03,-4725,14211,13451,108649,17786,14169,18.6512,50.2888,83796,#N/A N/A,23.143,121060.0403,19540,457,30092
DXCM UW Equity,DexCom Inc,US,Health Care,71.28,65.06,0,-57.8,193.3,256.7,46.1,19.8,-16.0619,69.3671,355.5,-24.4,52.381,5794.7031,-47,0.6,-110.4
JNJ UN Equity,Johnson & Johnson,US,Health Care,104.44,105.21,-8057,14715,71554,133266,18562,14969,26.4957,69.2046,70517,-758,18.262,288979.59,22388,531,-17556
LPLA UW Equity,LPL Financial Holdings Inc,US,Financials,30.42,20.23,-95.568,190.517,945.397,3979.358,222.512,151.141,8.5237,#N/A N/A,4358.976,#N/A N/A,30.221,2889.748,477.337,#N/A N/A,1437.669
MCD UN Equity,McDonald's Corp,US,Consumer Discretionary,123.78,117.19,-3237.2,4420.6,8309.8,32959.5,6663.5,4676.2,27.3625,38.0473,25643.9,#N/A N/A,19.611,113658.4843,8590.3,605.2,15538
KING UN Equity,King Digital Entertainment Plc,US,Information Technology,17.93,18,-445.096,566.729,1022.608,1381.461,618.857,580.434,33.7376,68.6542,2104.349,14.141,28.107,5657.6603,734.837,#N/A N/A,-920.302
MRK UN Equity,Merck & Co Inc,US,Health Care,50.67,50.21,-5190,10782,45679,101232,7010,5730,16.0593,62.6984,39765,#N/A N/A,23.341,141548.8346,12774,667,14578
MMM UN Equity,3M Co,US,Industrials,151,156.87,-2477,4974,12224,33258,6265,4760,23.1569,49.2328,30695,-159,23.05,92972.6557,8496,136,9482
BAC UN Equity,Bank of America Corp,US,Financials,14.14,12.52,-3561,14510,255905,2153006,26884,25908,26.9536,#N/A N/A,92607,#N/A N/A,30.557,147232.46,#N/A N/A,10169,161704
PFE UN Equity,Pfizer Inc,US,Health Care,30.49,29.67,-6850,8361,67124,170867,15191,14051,25.3287,81.3489,47922,#N/A N/A,23.438,188214.8296,17202,1218,18239
PG UN Equity,Procter & Gamble Co/The,US,Consumer Staples,81.69,80.29,-7346,7383,62954,129265,14513,11055,16.2054,48.5332,69742,82,17.186,220935.9699,14373,595,17881
BKU UN Equity,BankUnited Inc,US,Financials,33.7,32.12,-88.592,232.856,2210.568,22537.671,115.593,89.685,33.8532,#N/A N/A,930.659,#N/A N/A,27.329,3488.7733,#N/A N/A,124.482,3817.535
T UN Equity,AT&T Inc,US,Telecommunication Services,36.06,36.95,-9693,5308,122789,399989,32440,14714,8.4265,52.6513,139121,-929,15.816,221841.12,31829,3833,120728
SPB UN Equity,Spectrum Brands Holdings Inc,US,Consumer Staples,95.04,95.77,-70.7,149,1606.8,7298,444.3,355.2,10.1079,35.6153,4690.4,#N/A N/A,23.971,5639.0703,644.1,271.9,3723.1
TRV UN Equity,Travelers Cos Inc/The,US,Financials,107.04,107.52,-737,3585,24033,102110,3199,3199,19.9205,#N/A N/A,26912,#N/A N/A,19.11,32563.5815,#N/A N/A,370,6399
CIE UN Equity,Cobalt International Energy Inc,US,Energy,3.79,2.66,0,-424.155,1926.389,4638.436,-153.831,-636.337,#N/A N/A,#N/A N/A,0,#N/A N/A,72.113,1571.0825,-257.786,74.702,656.702
TKR UN Equity,Timken Co/The,US,Industrials,26.55,29.83,-87.8,6.8,1351.6,2946.6,361.8,257,1.4794,28.2114,2920.1,2.4,34.523,2203.4788,174.6,32,569.6
UTX UN Equity,United Technologies Corp,US,Industrials,87.69,96.62,-2153,5803,32183,92135,6358,4808,15.9463,28.3443,58421,-274,20.038,77782.8658,11164,1083,17190
WMT UN Equity,Wal-Mart Stores Inc,US,Consumer Staples,66.36,66.34,-6274,15086,82630,205144,28099,15945,5.2501,24.9837,484028,-245,27.081,212477.6401,34727,2606,45472
CSCO UW Equity,Cisco Systems Inc,US,Information Technology,23.79,26.18,-4181,9583,59985,111773,12827,11623,23.2005,60.8492,49598,-505,26.403,120759.9218,13860,586,-34486
INTC UW Equity,Intel Corp,US,Information Technology,31.02,29.59,-4492,11468,58002,98552,19361,12220,25.6626,62.9238,55162,-453,28.393,146383.38,22895,264,-5273
MSFT UW Equity,Microsoft Corp,US,Information Technology,55.09,50.88,-10050,12273,77445,172896,29351,23333,19.9542,64.7723,90758,1205,29.251,435723.4876,24100,869,-60788
P UN Equity,Pandora Media Inc,US,Information Technology,9.72,10.22,0,-137.974,522.658,820.743,53.996,20.103,-12.5787,39.9891,1095.886,-66.717,94.624,2074.4148,-118.447,#N/A N/A,-363.595
C UN Equity,Citigroup Inc,US,Financials,42.58,38.85,-1028,13403,222137,1808356,51679,48295,24.4135,#N/A N/A,87976,#N/A N/A,31.939,126845.4146,37205,12179,136650
OA UN Equity,Orbital ATK Inc,US,Industrials,90.23,83.76,-51.433,160.932,1906.211,5410.648,416.793,279.714,7.8791,22.7601,4485.76,-2.027,30.401,5308.1199,507.469,81.627,1471.913
AIG UN Equity,American International Group Inc,US,Financials,56.48,50.2,-860,4692,99619,501985,2884,2884,13.7966,#N/A N/A,59906,#N/A N/A,24.353,69866.4632,#N/A N/A,1323,29150
HON UN Equity,Honeywell International Inc,US,Industrials,103.2,101.35,-1670,4530,18167,46625,5257,4158,16.3,29.5098,38865,409,23.834,79535.3531,7222,#N/A N/A,204
ATO UN Equity,Atmos Energy Corp,US,Utilities,69.22,69.41,-160.018,315.075,3194.797,9092.945,836.519,-138.613,15.2432,40.5592,4142.136,48.24,21.017,7063.9878,906.191,116.241,2884.662
MO UN Equity,Altria Group Inc,US,Consumer Staples,61.11,61.57,-4099,5238,2916,31999,5693,5484,44.3377,58.8056,18738,-9,19.573,119817.1208,8517,#N/A N/A,11014
BOH UN Equity,Bank of Hawaii Corp,US,Financials,59.93,63.5,-78.593,159.063,1098.354,15164.123,245.379,231.25,40.3801,#N/A N/A,614.18,#N/A N/A,24.424,2594.4623,#N/A N/A,37.834,424.315
