Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,School Name,School Number,School Region,School Code,School Phone Number,School Address,School City,School State,School Zip,School Not Found,School or Citywide Complaint,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Garage Lot Name,Ferry Direction,Ferry Terminal Name,Latitude,Longitude,Location
30869966,06/18/2015 03:05:44 AM,,DOT,Department of Transportation,Street Condition,Pothole,,11102,14-29 27 AVENUE,27 AVENUE,14 STREET,18 STREET,,,ADDRESS,Astoria,,N/A,Open,,,06/18/2015 03:05:44 AM,01 QUEENS,QUEENS,1003986,221023,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.773311378888884,-73.92874469873337,"(40.773311378888884, -73.92874469873337)"
30872105,06/18/2015 02:12:58 AM,,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10004,3 HANOVER SQUARE,HANOVER SQUARE,STONE STREET,HANOVER STREET,,,ADDRESS,NEW YORK,,Precinct,Assigned,06/18/2015 10:12:58 AM,Your complaint has been received by the Police Department and additional information will be available later.,06/18/2015 02:41:41 AM,01 MANHATTAN,MANHATTAN,981581,196059,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.704813025329386,-74.00962631540268,"(40.704813025329386, -74.00962631540268)"
30868718,06/18/2015 02:10:19 AM,06/18/2015 02:53:28 AM,NYPD,New York City Police Department,Noise - Commercial,Banging/Pounding,Club/Bar/Restaurant,10003,,,,,EAST    9 STREET,2 AVENUE,INTERSECTION,NEW YORK,,Precinct,Closed,06/18/2015 10:10:19 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,06/18/2015 02:52:32 AM,03 MANHATTAN,MANHATTAN,987784,204939,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.72918619246994,-73.9872492164216,"(40.72918619246994, -73.9872492164216)"
30876071,06/18/2015 02:09:43 AM,,DOT,Department of Transportation,Street Condition,Pothole,,10036,11 AVENUE,11 AVENUE,WEST   46 STREET,WEST   47 STREET,,,BLOCKFACE,NEW YORK,,N/A,Open,,,06/18/2015 02:09:43 AM,04 MANHATTAN,MANHATTAN,985294,217508,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.7636855874398,-73.99623126392768,"(40.7636855874398, -73.99623126392768)"
30874153,06/18/2015 02:08:19 AM,,DOT,Department of Transportation,Street Condition,Pothole,,10029,,,,,EAST 110 STREET,MADISON AVENUE,INTERSECTION,NEW YORK,,N/A,Open,,,06/18/2015 02:08:19 AM,11 MANHATTAN,MANHATTAN,998746,229343,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.796157703511334,-73.94764535468309,"(40.796157703511334, -73.94764535468309)"
30875347,06/18/2015 02:06:15 AM,,DOT,Department of Transportation,Street Condition,Pothole,,10035,5 AVENUE,5 AVENUE,EAST  127 STREET,EAST  128 STREET,,,BLOCKFACE,NEW YORK,,N/A,Open,,,06/18/2015 02:06:15 AM,10 MANHATTAN,MANHATTAN,1000558,233667,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.80802273789414,-73.9410905235084,"(40.80802273789414, -73.9410905235084)"
30875895,06/18/2015 02:04:54 AM,,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,10458,,,,,WASHINGTON AVENUE,EAST  185 STREET,INTERSECTION,BRONX,,Precinct,Assigned,06/18/2015 10:04:54 AM,Your complaint has been received by the Police Department and additional information will be available later.,06/18/2015 02:23:38 AM,06 BRONX,BRONX,1014092,251307,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.8564040804627,-73.89212314731202,"(40.8564040804627, -73.89212314731202)"
30870781,06/18/2015 02:04:23 AM,,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11214,88 BAY 47 STREET,BAY 47 STREET,BATH AVENUE,HARWAY AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Open,06/18/2015 10:04:23 AM,Your complaint has been forwarded to the New York Police Department for a non-emergency response. 311 will have additional information in 8 hours. Please note your service request number for future reference.,,13 BROOKLYN,BROOKLYN,988100,154149,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.589778724860075,-73.98613807737024,"(40.589778724860075, -73.98613807737024)"
30873156,06/18/2015 02:03:29 AM,,DOT,Department of Transportation,Street Condition,Pothole,,10473,,,,,STORY AVENUE,WHITE PLAINS ROAD,INTERSECTION,BRONX,,N/A,Open,,,06/18/2015 02:03:29 AM,09 BRONX,BRONX,1023332,239590,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.824208303005555,-73.85878949052582,"(40.824208303005555, -73.85878949052582)"
30872083,06/18/2015 02:00:14 AM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Commercial Building,10012,48 MACDOUGAL STREET,MACDOUGAL STREET,,,,,LATLONG,NEW YORK,,N/A,Pending,07/18/2015 02:00:14 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,06/18/2015 02:03:08 AM,02 MANHATTAN,MANHATTAN,983564,204233,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.72724907406189,-74.00247503770332,"(40.72724907406189, -74.00247503770332)"
30875491,06/18/2015 01:59:11 AM,,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11234,1564 EAST 31 STREET,EAST 31 STREET,KINGS HIGHWAY,AVENUE P,,,ADDRESS,BROOKLYN,,Precinct,Assigned,06/18/2015 09:59:11 AM,Your complaint has been received by the Police Department and additional information will be available later.,06/18/2015 02:10:27 AM,18 BROOKLYN,BROOKLYN,1000081,163205,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.6146222978039,-73.94297927712398,"(40.6146222978039, -73.94297927712398)"
30876677,06/18/2015 01:57:51 AM,06/18/2015 01:58:01 AM,HRA,HRA Benefit Card Replacement,Benefit Card Replacement,Food Stamp,NYC Street Address,,,,,,,,,,,N/A,Closed,,"The Human Resources Administration received your request. If you are eligible for a benefit card replacement, you will receive it in 7 to 10 business days. No further updates will be available by calling 311 or on 311 Online.",,0 Unspecified,Unspecified,,,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,,,
