return0,revert1,revert2,revert3,revert4,revert5,revert6,revert7,revert8,revert9,mo1,mo2,mo3,mo4,mo5,mo6,mo7,mo8,mo9,mo10,mo11
32,180,-110,4,314,-214,599,-214,163,-214,-15,5,-10,32,-83,-44,-45,-55,5,20,15
-224,276,133,190,494,125,834,21,398,21,0,-50,-50,-118,-180,-180,-253,-51,-30,-30,20
-112,127,-485,87,93,-237,187,-341,-86,-341,36,18,54,0,0,168,168,153,54,18,0
41,-11,-446,-18,-308,-920,-303,-920,-521,-920,1,32,33,33,-3,99,34,33,33,32,0
-21,40,-181,37,-84,-993,-84,-993,-594,-993,-38,-58,-96,130,124,114,55,41,-38,0,58
-2,83,-132,16,-10,-1043,-10,-1043,-644,-1043,-20,-14,-34,100,-80,-44,-30,-20,-20,0,14
-11,652,376,486,683,31,683,-443,-44,-443,-24,-1,-25,-106,-103,0,-30,-31,-25,-1,0
125,25,-129,-44,634,320,634,-492,-93,-492,0,9,9,-59,-49,-49,61,-49,9,9,0
-20,17,-112,-66,647,-116,647,-116,-80,-479,1,4,5,114,87,58,14,14,12,11,7
-3,351,-28,17,952,220,983,220,256,-143,-15,15,0,50,50,45,35,-20,0,15,0
-13,39,-252,24,203,-199,812,-199,85,-314,-20,27,7,44,44,44,44,39,8,28,1
-231,-99,-344,-163,-30,-464,569,-464,-173,-526,-28,-28,-56,15,254,114,67,-53,-53,-25,3
91,29,-707,-11,-566,-998,-543,-998,-707,-1060,40,4,44,193,193,189,183,53,50,10,6
141,439,-101,23,453,-574,453,-574,-283,-574,9,-29,-20,107,74,37,0,7,1,-8,21
16,128,-468,47,226,-681,226,-801,-510,-801,-15,-68,-83,49,52,120,56,20,-65,-50,18
190,506,55,100,674,-62,674,-353,-62,-353,63,36,99,28,28,19,63,105,109,46,10
11,331,-135,0,813,133,827,-80,91,-200,49,-22,27,0,0,-49,-49,-46,0,-49,-27
-128,-62,-276,-77,598,-266,696,-266,-40,-331,49,-29,20,-100,-30,17,0,17,20,-29,0
146,-106,-679,-215,-144,-948,10,-948,-734,-1003,19,18,37,109,83,83,75,27,37,18,0
