"carat","cut","color","clarity","table","depth","cert","measurements_1","measurements_2","measurements_3","price"
0.4,"V.Good","J","SI1",57,62.7,"GIA",4.69,4.68,2.94,830
0.3,"V.Good","D","VS2",59,62.9,"GIA",4.25,4.23,2.66,880
0.5,"V.Good","F","VS2",61,62.4,"GIA",5.04,5.02,3.14,1750
0.31,"Good","D","VS1",59,64.4,"GIA",4.21,4.17,2.7,960
0.34,"Ideal","G","SI1",61,59.4,"GIA",4.55,4.53,2.7,566
2.52,"Ideal","E","VS2",57,59.9,"GIA",8.92,8.86,5.32,45860
1.63,"Ideal","K","SI1",58,62.5,"GIA",7.53,7.47,4.69,6250
0.31,"Ideal","F","SI2",56,59.9,"GIA",4.36,4.38,2.62,930
0.32,"Ideal","E","SI1",55,62.8,"GIA",4.37,4.34,2.74,820
1.1,"Ideal","D","IF",57,62.3,"GIA",6.59,6.61,4.12,20979
1.13,"Ideal","L","VS2",58,62.3,"GIA",6.7,6.67,4.16,4050
0.32,"Ideal","F","SI1",57,62.1,"GIA",4.36,4.38,2.71,550
0.34,"Ideal","H","VVS1",60,62,"GIA",4.47,4.49,2.78,682
0.7,"V.Good","G","SI2",61,59.6,"GIA",5.72,5.74,3.41,2060
1.51,"Ideal","F","SI2",58,62.4,"EGL Intl.",7.28,7.26,4.54,6560
0.3,"Ideal","E","VS2",56,61.9,"GIA",4.32,4.28,2.66,850
1.01,"Good","K","VS1",56.5,68.5,"IGI",6.07,6.09,4.17,2990
0.9,"Good","H","SI2",65,66.1,"GIA",5.96,5.93,3.93,2880
0.77,"V.Good","H","VS2",60,63.1,"GIA",5.83,5.87,3.69,2760
0.51,"Ideal","D","I1",59,61.5,"GIA",5.14,5.18,3.17,714
1.01,"Ideal","H","SI2",58,62.3,"HRD",6.41,6.38,3.99,4390
0.5,"Ideal","G","VS2",57,62,"GIA",5.12,5.1,3.17,1760
0.8,"V.Good","I","VS2",57,63.2,"GIA",5.89,5.87,3.71,2794
0.33,"Ideal","G","SI1",59,61.5,"GIA",4.48,4.45,2.75,850
0.58,"Ideal","J","VVS2",58,62,"IGI",5.35,5.37,3.32,1372
