RefId,IsBadBuy,PurchDate,Auction,VehYear,VehicleAge,Make,Model,Trim,SubModel,Color,Transmission,WheelTypeID,WheelType,VehOdo,Nationality,Size,TopThreeAmericanName,MMRAcquisitionAuctionAveragePrice,MMRAcquisitionAuctionCleanPrice,MMRAcquisitionRetailAveragePrice,MMRAcquisitonRetailCleanPrice,MMRCurrentAuctionAveragePrice,MMRCurrentAuctionCleanPrice,MMRCurrentRetailAveragePrice,MMRCurrentRetailCleanPrice,PRIMEUNIT,AUCGUART,BYRNO,VNZIP1,VNST,VehBCost,IsOnlineSale,WarrantyCost
1,0,12/7/2009,ADESA,2006,3,MAZDA,MAZDA3,i,4D SEDAN I,RED,AUTO,1.0,Alloy,89046,OTHER ASIAN,MEDIUM,OTHER,8155.0,9829.0,11636.0,13600.0,7451.0,8552.0,11597.0,12409.0,,,21973,33619,FL,7100.0,0,1113
2,0,12/7/2009,ADESA,2004,5,DODGE,1500 RAM PICKUP 2WD,ST,QUAD CAB 4.7L SLT,WHITE,AUTO,1.0,Alloy,93593,AMERICAN,LARGE TRUCK,CHRYSLER,6854.0,8383.0,10897.0,12572.0,7456.0,9222.0,11374.0,12791.0,,,19638,33619,FL,7600.0,0,1053
5,0,12/7/2009,ADESA,2005,4,FORD,FOCUS,ZX3,2D COUPE ZX3,SILVER,MANUAL,2.0,Covers,69367,AMERICAN,COMPACT,FORD,3913.0,5054.0,7723.0,8707.0,3247.0,4384.0,6739.0,7911.0,,,19638,33619,FL,4000.0,0,1020
6,0,12/7/2009,ADESA,2004,5,MITSUBISHI,GALANT 4C,ES,4D SEDAN ES,WHITE,AUTO,2.0,Covers,81054,OTHER ASIAN,MEDIUM,OTHER,3901.0,4908.0,6706.0,8577.0,4709.0,5827.0,8149.0,9451.0,,,19638,33619,FL,5600.0,0,594
7,0,12/7/2009,ADESA,2004,5,KIA,SPECTRA,EX,4D SEDAN EX,BLACK,AUTO,2.0,Covers,65328,OTHER ASIAN,MEDIUM,OTHER,2966.0,4038.0,6240.0,8496.0,2980.0,4115.0,6230.0,8603.0,,,19638,33619,FL,4200.0,0,533
13,1,12/14/2009,ADESA,2005,4,DODGE,CARAVAN GRAND FWD V6,SE,MINIVAN 3.3L,RED,AUTO,1.0,Alloy,79315,AMERICAN,VAN,CHRYSLER,4225.0,5380.0,7910.0,10108.0,4807.0,6077.0,8523.0,10124.0,,,19638,33619,FL,5400.0,0,1623
15,0,12/14/2009,ADESA,2006,3,DODGE,CARAVAN GRAND FWD V6,SXT,MINIVAN 3.8L,GOLD,AUTO,1.0,Alloy,74722,AMERICAN,VAN,CHRYSLER,6999.0,9730.0,10743.0,14066.0,7952.0,9910.0,12131.0,13836.0,,,19638,33619,FL,6900.0,0,1623
16,0,12/14/2009,ADESA,2003,6,CHEVROLET,CAVALIER 4C,Bas,2D COUPE,WHITE,MANUAL,2.0,Covers,72132,AMERICAN,COMPACT,GM,2228.0,3217.0,5256.0,7589.0,2128.0,2690.0,4855.0,5506.0,,,5546,33619,FL,3300.0,0,1455
17,0,12/14/2009,ADESA,2005,4,CHEVROLET,TRAILBLAZER 2WD 6C,LS,4D SUV 4.2L,WHITE,AUTO,1.0,Alloy,80736,AMERICAN,MEDIUM SUV,GM,6742.0,7951.0,11068.0,12885.0,7670.0,9159.0,12596.0,15041.0,,,19638,33619,FL,6800.0,0,1243
18,0,12/14/2009,ADESA,2003,6,SATURN,VUE 2WD 4C,,4D CUV 2.2L,RED,AUTO,2.0,Covers,75156,AMERICAN,MEDIUM SUV,GM,2756.0,3475.0,5835.0,6925.0,3513.0,4572.0,7195.0,9364.0,,,5546,33619,FL,4900.0,0,1923
20,0,12/14/2009,ADESA,2004,5,GMC,ENVOY XL 2WD 6C,SLE,4D UTILITY 4.2L SLE,BLACK,AUTO,1.0,Alloy,84498,AMERICAN,MEDIUM SUV,GM,7347.0,8845.0,11092.0,13052.0,7436.0,8766.0,11367.0,12609.0,,,19638,33619,FL,7100.0,0,1243
22,0,12/14/2009,ADESA,2002,7,CHEVROLET,MONTE CARLO,SS,2D COUPE SS,WHITE,AUTO,1.0,Alloy,66536,AMERICAN,LARGE,GM,3522.0,4791.0,7689.0,10460.0,4403.0,5629.0,7512.0,8975.0,,,5546,33619,FL,5800.0,0,2003
24,0,12/21/2009,ADESA,2006,3,CHEVROLET,HHR,LS,4D SUV 2.2L LS,GREY,AUTO,2.0,Covers,59789,AMERICAN,MEDIUM,GM,5693.0,6842.0,9586.0,11299.0,6062.0,7214.0,9721.0,11606.0,,,5546,33619,FL,7700.0,0,671
26,1,12/21/2009,ADESA,2004,5,MERCURY,SABLE,LS,4D SEDAN LS PREMIUM,WHITE,AUTO,1.0,Alloy,52106,AMERICAN,MEDIUM,FORD,2619.0,3561.0,6502.0,7274.0,3160.0,4376.0,6600.0,8074.0,,,5546,33619,FL,4500.0,0,754
27,0,12/21/2009,ADESA,2002,7,GMC,ENVOY XL 4WD 6C,SLE,4D UTILITY 4.2L SLE,GOLD,AUTO,1.0,Alloy,88958,AMERICAN,MEDIUM SUV,GM,5367.0,6517.0,9005.0,10050.0,5510.0,6838.0,8522.0,10252.0,,,5546,33619,FL,8000.0,0,2452
28,0,12/21/2009,ADESA,2004,5,DODGE,1500 RAM PICKUP 2WD,ST,QUAD CAB 4.7L SLT,WHITE,AUTO,1.0,Alloy,76173,AMERICAN,LARGE TRUCK,CHRYSLER,6407.0,8051.0,10378.0,12443.0,7159.0,8934.0,11135.0,12560.0,,,19638,33619,FL,8800.0,0,920
30,0,12/28/2009,ADESA,2005,4,DODGE,CARAVAN GRAND FWD V6,SXT,MINIVAN 3.8L SXT,GREY,AUTO,1.0,Alloy,80064,AMERICAN,VAN,CHRYSLER,5439.0,7255.0,9587.0,11288.0,6175.0,7792.0,9768.0,11489.0,,,19638,33619,FL,5600.0,0,1763
31,0,12/28/2009,ADESA,2003,6,CHEVROLET,SUBURBAN 1500 2WD,150,4D UTILITY 5.3L FFV LS,GOLD,AUTO,1.0,Alloy,77694,AMERICAN,LARGE SUV,GM,7220.0,8598.0,11181.0,12310.0,6910.0,8441.0,10739.0,12152.0,,,19638,33619,FL,8300.0,0,1923
34,0,12/28/2009,ADESA,2004,5,FORD,MUSTANG V6,Bas,2D COUPE,BLACK,MANUAL,1.0,Alloy,57723,AMERICAN,SPORTS,FORD,4335.0,5331.0,8448.0,10389.0,5960.0,7040.0,8576.0,9924.0,,,19638,33619,FL,7000.0,0,671
