Character,Score,Rank,Mulitplier,Score_log
Petyr Baelish,32.0,1.0,1/8,7.238324625039508
Varys,22.125,2.0,1/8,6.869296913133774
Tyrion Lannister,16.5,3.0,1/8,6.575949103146316
Margaery Tyrell,14.5,4.0,1/8,6.44673737166631
Brienne of Tarth,9.625,5.0,1/8,6.0369526024136295
Grey Worm,9.0,6.0,1/8,5.969813299576001
Davos Seaworth,8.0,7.0,1/8,5.852030263919617
Mance Rayder,6.125,8.0,1/4,5.584967478670572
Daario Naharis,5.25,9.0,1/4,5.430816798843313
Lord of Bones,5.0,10.0,1/4,5.382026634673881
Ramsay Bolton,5.0,10.0,1/4,5.382026634673881
Sansa Stark,5.0,10.0,1/2,5.382026634673881
Myrcella Baratheon,5.0,10.0,1/4,5.382026634673881
Nymeria Sand,4.5,14.0,1/4,5.276666119016055
Jaqen Hghar,4.125,15.0,1/4,5.189654742026425
Arya Stark,4.0,16.0,1/4,5.1588830833596715
Theon Greyjoy,4.0,16.0,1/4,5.1588830833596715
Daenerys Targaryen,4.0,16.0,1/4,5.1588830833596715
The High Sparrow,3.0,19.0,1/2,4.871201010907891
Olenna Tyrell,2.25,20.0,1/2,4.58351893845611
Areo Hotah,2.125,21.0,1/2,4.526360524616162
Pycelle,2.125,21.0,1/2,4.526360524616162
Melisandre,2.0,23.0,1/2,4.465735902799727
Kevan Lannister,2.0,23.0,1/2,4.465735902799727
Jon Snow,2.0,23.0,1/2,4.465735902799727
Gregor Clegane,2.0,23.0,1/2,4.465735902799727
Ser Bronn,1.25,27.0,1,3.995732273553991
Jorah Mormont,1.125,28.0,2,3.8903717578961645
Tycho Nestoris,1.0,29.0,1,3.772588722239781
Cersei Lannister,1.0,29.0,1,3.772588722239781
Ellaria Sand,1.0,29.0,2,3.772588722239781
Samwell Tarly,0.75,32.0,2,3.4849066497880004
Robin Arryn,0.5,33.0,2,3.0794415416798357
Trystane Martell,0.5,33.0,4,3.0794415416798357
Tyene Sand,0.5,33.0,2,3.0794415416798357
Alliser Thorne,0.25,36.0,4,2.386294361119891
Tormund Giantsbane,0.25,36.0,4,2.386294361119891
Loras Tyrell,0.25,36.0,4,2.386294361119891
Doran Martell,0.25,36.0,4,2.386294361119891
Obara Sand,0.125,40.0,8,1.6931471805599454
Missandei,0.125,40.0,8,1.6931471805599454
Yezzan,0.125,40.0,8,1.6931471805599454
Olly,0.125,40.0,8,1.6931471805599454
Gilly,0.125,40.0,8,1.6931471805599454
Maggy the Frog,0.0625,45.0,,1.0
Pit Announcer,0.0625,45.0,,1.0
Walda Bolton,0.0625,45.0,,1.0
Lancel Lannister,0.0625,45.0,,1.0
Septa Unella,0.0625,45.0,,1.0
Bowen Marsh,0.0625,45.0,,1.0
Ternesio Terys,0.0625,45.0,,1.0
Mace Tyrell,0.0625,45.0,,1.0
Lhara,0.0625,45.0,,1.0
Jaime Lannister,0.0625,45.0,,1.0
Eddison Tollett,0.0625,45.0,,1.0
Yohn Royce,0.0625,45.0,,1.0
Malko,0.0625,45.0,,1.0
White Walkers Master,0.0625,45.0,,1.0
Stannis Baratheon,0.0625,45.0,,1.0
Meryn Trant,0.0625,45.0,,1.0
Denys Mallister,0.0625,45.0,,1.0
Shireen Baratheon,0.0625,45.0,,1.0
Loboda,0.0625,45.0,,1.0
Janos Slynt,0.0625,45.0,,1.0
Barristan Selmy,0.0625,45.0,,1.0
Podrick Payne,0.0625,45.0,,1.0
Myranda,0.0625,45.0,,1.0
Keyr,0.0625,45.0,,1.0
Tommen Baratheon,0.0625,45.0,,1.0
Selyse Baratheon,0.0625,45.0,,1.0
Roose Bolton,0.0625,45.0,,1.0
Hizdahr zo Loraq,0.0625,45.0,,1.0
Qyburn,0.0625,45.0,,1.0
