dataset,x,y
set_13,55.3846,97.1795
set_13,51.5385,96.0256
set_13,46.1538,94.4872
set_13,42.8205,91.4103
set_13,40.7692,88.3333
set_13,38.7179,84.8718
set_13,35.641,79.8718
set_13,33.0769,77.5641
set_13,28.9744,74.4872
set_13,26.1538,71.4103
set_13,23.0769,66.4103
set_13,22.3077,61.7949
set_13,22.3077,57.1795
set_13,23.3333,52.9487
set_13,25.8974,51.0256
set_13,29.4872,51.0256
set_13,32.8205,51.0256
set_13,35.3846,51.4103
set_13,40.2564,51.4103
set_13,44.1026,52.9487
set_13,46.6667,54.1026
set_13,50,55.2564
set_13,53.0769,55.641
set_13,56.6667,56.0256
set_13,59.2308,57.9487
set_13,61.2821,62.1795
set_13,61.5385,66.4103
set_13,61.7949,69.1026
set_13,57.4359,55.2564
set_13,54.8718,49.8718
set_13,52.5641,46.0256
set_13,48.2051,38.3333
set_13,49.4872,42.1795
set_13,51.0256,44.1026
set_13,45.3846,36.4103
set_13,42.8205,32.5641
set_13,38.7179,31.4103
set_13,35.1282,30.2564
set_13,32.5641,32.1795
set_13,30,36.7949
set_13,33.5897,41.4103
set_13,36.6667,45.641
set_13,38.2051,49.1026
set_13,29.7436,36.0256
set_13,29.7436,32.1795
set_13,30,29.1026
set_13,32.0513,26.7949
set_13,35.8974,25.2564
set_13,41.0256,25.2564
set_13,44.1026,25.641
set_13,47.1795,28.718
set_13,49.4872,31.4103
set_13,51.5385,34.8718
set_13,53.5897,37.5641
set_13,55.1282,40.641
set_13,56.6667,42.1795
set_13,59.2308,44.4872
set_13,62.3077,46.0256
set_13,64.8718,46.7949
set_13,67.9487,47.9487
set_13,70.5128,53.718
set_13,71.5385,60.641
set_13,71.5385,64.4872
set_13,69.4872,69.4872
set_13,46.9231,79.8718
set_13,48.2051,84.1026
set_13,50,85.2564
set_13,53.0769,85.2564
set_13,55.3846,86.0256
set_13,56.6667,86.0256
set_13,56.1538,82.9487
set_13,53.8462,80.641
set_13,51.2821,78.718
set_13,50,78.718
set_13,47.9487,77.5641
set_13,29.7436,59.8718
set_13,29.7436,62.1795
set_13,31.2821,62.5641
set_13,57.9487,99.4872
set_13,61.7949,99.1026
set_13,64.8718,97.5641
set_13,68.4615,94.1026
set_13,70.7692,91.0256
set_13,72.0513,86.4103
set_13,73.8462,83.3333
set_13,75.1282,79.1026
set_13,76.6667,75.2564
set_13,77.6923,71.4103
set_13,79.7436,66.7949
set_13,81.7949,60.2564
set_13,83.3333,55.2564
set_13,85.1282,51.4103
set_13,86.4103,47.5641
set_13,87.9487,46.0256
set_13,89.4872,42.5641
set_13,93.3333,39.8718
set_13,95.3846,36.7949
set_13,98.2051,33.718
set_13,56.6667,40.641
set_13,59.2308,38.3333
set_13,60.7692,33.718
set_13,63.0769,29.1026
set_13,64.1026,25.2564
set_13,64.359,24.1026
set_13,74.359,22.9487
set_13,71.2821,22.9487
set_13,67.9487,22.1795
set_13,65.8974,20.2564
set_13,63.0769,19.1026
set_13,61.2821,19.1026
set_13,58.7179,18.3333
set_13,55.1282,18.3333
set_13,52.3077,18.3333
set_13,49.7436,17.5641
set_13,47.4359,16.0256
set_13,44.8718,13.718
set_13,48.7179,14.8718
set_13,51.2821,14.8718
set_13,54.1026,14.8718
set_13,56.1538,14.1026
set_13,52.0513,12.5641
set_13,48.7179,11.0256
set_13,47.1795,9.8718
set_13,46.1538,6.0256
set_13,50.5128,9.4872
set_13,53.8462,10.2564
set_13,57.4359,10.2564
set_13,60,10.641
set_13,64.1026,10.641
set_13,66.9231,10.641
set_13,71.2821,10.641
set_13,74.359,10.641
set_13,78.2051,10.641
set_13,67.9487,8.718
set_13,68.4615,5.2564
set_13,68.2051,2.9487
set_13,37.6923,25.7692
set_13,39.4872,25.3846
set_13,91.2821,41.5385
set_13,50,95.7692
set_13,47.9487,95
set_13,44.1026,92.6923
set_01,32.33111023,61.41110125
set_01,53.42146288,26.18688039
set_01,63.92020226,30.83219392
set_01,70.28950572,82.53364859
set_01,34.11883024,45.73455132
set_01,67.6707164,37.11094797
set_01,53.25912941,97.4757711
set_01,63.51498087,25.10007858
set_01,67.98053881,80.95716522
set_01,67.3724659,29.7204002
set_01,15.56074952,80.06564029
set_01,71.79076769,71.06546666
set_01,70.24254644,24.10959755
set_01,64.93743554,81.55420499
set_01,62.21352455,21.475839
set_01,67.26940048,18.70896837
set_01,40.57019704,79.37296348
set_01,74.74118133,21.1016372
set_01,71.76831892,20.01106184
set_01,76.16691981,75.9361704
set_01,65.62365744,15.58280335
set_01,50.85063364,13.98760163
set_01,33.02407002,24.46783039
set_01,39.70632617,84.2752871
set_01,45.59648495,9.763348849
set_01,42.96804691,17.9454584
set_01,52.49440678,16.0511142
set_01,46.08227578,23.11045782
set_01,74.24770821,20.31418781
set_01,64.56826419,83.6396339
set_01,74.02169391,76.12827451
set_01,62.39118056,5.623070761
set_01,74.18903668,68.13358322
set_01,28.23678194,56.13959645
set_01,75.77193879,69.82923003
set_01,75.85522947,62.51704429
set_01,65.97085702,72.744856
set_01,21.77804048,6.616625307
set_01,67.75979625,72.42120153
set_01,78.61719534,52.57525731
set_01,68.50770819,15.45691897
set_01,74.88502116,25.41660632
set_01,66.45490366,19.83662865
set_01,77.3178021,48.39834644
set_01,58.91246032,75.66775622
set_01,57.61744782,8.194800603
set_01,76.0882258,59.67993002
set_01,57.46605055,1.504418175
set_01,79.42838349,45.21079429
set_01,76.35652215,10.41824113
set_01,64.40507526,78.58417608
set_01,40.63504181,73.39475037
set_01,43.94986459,75.95871567
set_01,30.99622058,71.69440494
set_01,68.23076899,80.87250166
set_01,72.04638946,12.91800673
set_01,46.59276797,84.97238278
set_01,49.25721834,81.88140323
set_01,42.78176125,12.99118843
set_01,65.4759522,14.27458564
set_01,71.96508265,17.71023594
set_01,32.14646234,43.48170944
set_01,31.8384977,71.81216539
set_01,31.00525826,40.68250301
set_01,80.47089432,49.50214835
set_01,71.96416711,41.87428267
set_01,78.07942144,93.13331677
set_01,41.67759577,30.20126408
set_01,65.95359519,31.14740608
