Date,Value
12/31/15,1138500
11/30/15,1126750
10/31/15,1093250
9/30/15,1080750
8/31/15,1138750
7/31/15,1124000
6/30/15,1156000
5/31/15,1125350
4/30/15,1115500
3/31/15,1185250
2/28/15,1020875
1/31/15,963250
12/31/14,1002675
11/30/14,1024825
10/31/14,973250
9/30/14,954000
8/31/14,967750
7/31/14,988450
6/30/14,966550
5/31/14,949000
4/30/14,941000
3/31/14,943500
2/28/14,894100
1/31/14,867000
12/31/13,844650
11/30/13,877750
10/31/13,849750
9/30/13,832500
8/31/13,841500
7/31/13,849500
6/30/13,859825
5/31/13,859675
4/30/13,826250
3/31/13,792750
2/28/13,759450
1/31/13,757700
12/31/12,775350
11/30/12,787250
10/31/12,784500
9/30/12,741600
8/31/12,740000
7/31/12,744500
6/30/12,738325
5/31/12,719425
4/30/12,704250
3/31/12,670100
2/29/12,645650
1/31/12,620500
12/31/11,625550
11/30/11,645000
10/31/11,654850
9/30/11,657150
8/31/11,674350
7/31/11,702250
6/30/11,709450
5/31/11,714300
4/30/11,695750
3/31/11,653100
2/28/11,634650
1/31/11,660500
12/31/10,695325
11/30/10,701825
10/31/10,688000
9/30/10,693750
8/31/10,716250
7/31/10,731500
6/30/10,735250
5/31/10,722250
4/30/10,722625
3/31/10,686125
2/28/10,670000
1/31/10,683750
12/31/09,718350
11/30/09,715900
10/31/09,724975
9/30/09,709300
8/31/09,706750
7/31/09,711000
6/30/09,701450
5/31/09,688500
4/30/09,677400
3/31/09,662750
2/28/09,670250
1/31/09,653250
12/31/08,701850
11/30/08,714650
10/31/08,737750
9/30/08,753750
8/31/08,774000
7/31/08,771450
6/30/08,789550
5/31/08,801400
4/30/08,782850
3/31/08,766250
2/29/08,766750
1/31/08,775000
12/31/07,792100
11/30/07,820650
10/31/07,826750
9/30/07,822250
8/31/07,822750
7/31/07,818250
6/30/07,831350
5/31/07,812900
4/30/07,777750
3/31/07,756000
2/28/07,755450
1/31/07,752550
12/31/06,758750
11/30/06,766000
10/31/06,770000
9/30/06,766500
8/31/06,773000
7/31/06,781250
6/30/06,784600
5/31/06,773700
4/30/06,768200
3/31/06,749000
2/28/06,739250
1/31/06,748250
12/31/05,749750
11/30/05,754500
10/31/05,755750
9/30/05,755000
8/31/05,767500
7/31/05,778000
6/30/05,760000
5/31/05,763850
4/30/05,747400
3/31/05,720500
2/28/05,709250
1/31/05,701000
12/31/04,696125
11/30/04,689925
10/31/04,685950
9/30/04,674500
8/31/04,677250
7/31/04,672250
6/30/04,667200
5/31/04,645550
4/30/04,629000
3/31/04,597750
2/29/04,569750
1/31/04,569750
12/31/03,581450
11/30/03,585525
10/31/03,579525
9/30/03,572000
8/31/03,567900
7/31/03,564850
6/30/03,574000
5/31/03,557450
4/30/03,547550
3/31/03,540000
2/28/03,543600
1/31/03,547450
12/31/02,558700
11/30/02,553750
10/31/02,544750
9/30/02,542950
8/31/02,553300
7/31/02,560500
6/30/02,563700
5/31/02,555800
4/30/02,533750
3/31/02,522250
2/28/02,496250
1/31/02,489000
12/31/01,501250
11/30/01,500500
10/31/01,493500
9/30/01,502250
8/31/01,504000
7/31/01,516500
6/30/01,525750
5/31/01,539100
4/30/01,548900
3/31/01,548250
2/28/01,516250
1/31/01,510250
12/31/00,517200
11/30/00,506150
10/31/00,500150
9/30/00,494500
8/31/00,501650
7/31/00,504000
6/30/00,510200
5/31/00,507050
4/30/00,497100
3/31/00,455750
2/29/00,431750
1/31/00,422350
12/31/99,417625
11/30/99,408775
10/31/99,393400
9/30/99,380350
8/31/99,382675
7/31/99,383275
6/30/99,380050
5/31/99,362800
4/30/99,355700
3/31/99,345300
2/28/99,333850
1/31/99,322850
12/31/98,335275
11/30/98,339850
10/31/98,338325
9/30/98,337800
8/31/98,332975
7/31/98,336400
6/30/98,330125
5/31/98,333250
4/30/98,315500
3/31/98,301000
2/28/98,299700
1/31/98,317800
12/31/97,312350
11/30/97,304650
10/31/97,298750
9/30/97,295700
8/31/97,289300
7/31/97,283250
6/30/97,283625
5/31/97,281875
4/30/97,280350
3/31/97,271850
2/28/97,268800
1/31/97,268250
12/31/96,263750
11/30/96,255350
10/31/96,250400
9/30/96,262600
8/31/96,268650
7/31/96,273000
6/30/96,274250
5/31/96,265700
4/30/96,259300
