loan_amnt,term,installment,grade,emp_length,home_ownership,annual_inc,verification_status,loan_status,purpose,dti,delinq_2yrs,open_acc,revol_bal,total_acc,tot_coll_amt,tot_cur_bal,total_rev_hi_lim,avg_cur_bal,bc_util,mort_acc,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_rev_tl_bal_gt_0,num_tl_90g_dpd_24m,num_tl_op_past_12m,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,fico_average
15000.0, 36 months,485.14,B,9 years,MORTGAGE,125000.0,Not Verified,1,debt_consolidation,17.22,0.0,11.0,37651.0,24.0,0.0,87483.0,58300.0,7953.0,53.6,2.0,0.0,2.0,7.0,2.0,8.0,7.0,0.0,1.0,87483.0,8500.0,45764.0,687.0
12250.0, 60 months,295.37,C,7 years,RENT,35000.0,Source Verified,0,credit_card,19.51,0.0,9.0,12681.0,19.0,0.0,13938.0,19345.0,1742.0,69.1,0.0,0.0,5.0,5.0,7.0,16.0,5.0,0.0,1.0,13938.0,18345.0,14793.0,722.0
17000.0, 36 months,556.48,B,10+ years,MORTGAGE,67000.0,Source Verified,1,debt_consolidation,21.26,0.0,14.0,27320.0,33.0,0.0,43035.0,43500.0,3074.0,66.2,1.0,0.0,4.0,6.0,6.0,12.0,6.0,0.0,0.0,43035.0,31800.0,27657.0,747.0
8250.0, 36 months,263.01,B,9 years,OWN,29000.0,Not Verified,1,debt_consolidation,24.34,0.0,14.0,8253.0,22.0,0.0,46863.0,13600.0,3347.0,71.8,0.0,0.0,4.0,5.0,4.0,4.0,5.0,0.0,0.0,46863.0,11400.0,40279.0,702.0
7125.0, 36 months,256.06,D,9 years,RENT,87000.0,Source Verified,0,house,13.92,2.0,12.0,2426.0,19.0,1215.0,22318.0,5400.0,1860.0,47.2,0.0,0.0,5.0,7.0,7.0,8.0,8.0,0.0,2.0,22318.0,4700.0,26334.0,677.0
25200.0, 60 months,653.57,E,10+ years,MORTGAGE,60000.0,Not Verified,0,debt_consolidation,24.62,0.0,14.0,9141.0,35.0,54.0,270629.0,16200.0,19331.0,64.9,3.0,2.0,1.0,5.0,3.0,12.0,5.0,0.0,2.0,52970.0,7500.0,52178.0,697.0
35000.0, 36 months,1309.49,E,3 years,MORTGAGE,120000.0,Source Verified,1,small_business,7.03,0.0,13.0,3309.0,19.0,1528.0,210773.0,23400.0,16213.0,36.8,3.0,0.0,3.0,5.0,4.0,7.0,5.0,0.0,2.0,31721.0,8300.0,31206.0,722.0
20000.0, 60 months,446.11,B,10+ years,MORTGAGE,50000.0,Verified,1,debt_consolidation,25.18,0.0,8.0,5045.0,30.0,0.0,155074.0,26600.0,19384.0,23.0,4.0,0.0,1.0,2.0,2.0,7.0,2.0,0.0,4.0,26765.0,20100.0,37881.0,802.0
24000.0, 60 months,582.11,C,< 1 year,RENT,85000.0,Verified,1,debt_consolidation,11.46,0.0,9.0,26044.0,37.0,0.0,41451.0,38300.0,4606.0,76.1,0.0,0.0,4.0,7.0,4.0,10.0,7.0,0.0,2.0,41451.0,29400.0,18109.0,687.0
12000.0, 36 months,374.33,A,10+ years,MORTGAGE,67000.0,Verified,1,credit_card,19.85,0.0,9.0,3108.0,37.0,85.0,142157.0,5200.0,15795.0,64.7,1.0,0.0,3.0,3.0,3.0,8.0,3.0,0.0,4.0,50527.0,4800.0,59508.0,707.0
